partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility
Meta,Meta Front-End Developer,"{"" HTML and CSS"","" Javascript"","" Front-End Web Development"","" React (web framework)"","" Web Development"","" User Experience"","" Algorithms"","" Computer Science"","" Web Design"","" Application Development"","" Computer Programming"","" Software Engineering"","" Web Development Tools"","" Collaboration"","" Communication"","" Data Structures"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Problem Solving"","" Product Design"","" Software Engineering Tools"","" Software Testing""}",4.7,14.7k,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,Cloud Application Development Foundations,"{"" Cloud Computing"","" Cloud Applications"","" IBM Cloud"","" Javascript"","" Cloud Infrastructure"","" Cloud Platforms"","" DevOps"","" Cloud Management"","" Computer Programming"","" Web Development"","" Cloud API"","" Continuous Integration"","" Cloud Storage"","" Software As A Service"","" Continuous Delivery"","" Web Development Tools"","" NoSQL"","" Computer Science"","" React (web framework)""}",4.6,6.1k,Beginner , Specialization , 3 - 6 Months,false
Google,Foundations of Project Management,"{"" Project Management"","" Strategy and Operations"","" Business Communication"","" Change Management"","" Organizational Development"","" Communication"","" Culture"","" Emotional Intelligence"","" Influencing"","" Leadership and Management"","" People Management"","" Planning""}",4.9,73.7k,Beginner , Course , 1 - 4 Weeks,false
Google,Foundations of Cybersecurity,"{"" Linux"","" Computer Programming"","" Leadership and Management"","" SQL""}",4.9,11.8k,Beginner , Course , 1 - 4 Weeks,false
IBM,IBM IT Support,"{"" Customer Success"","" Cloud Computing"","" Computer Networking"","" Strategy and Operations"","" Operating Systems"","" Cloud Storage"","" Cloud Applications"","" Leadership and Management"","" System Security"","" Customer Support"","" Communication"","" Computer Programming"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Cryptography"","" IBM Cloud"","" Information Technology"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,6.6k,Beginner , Professional Certificate , 3 - 6 Months,false
Google,"Foundations: Data, Data, Everywhere","{"" Data Analysis"","" SQL"","" Data Visualization"","" Business Analysis"","" Spreadsheet Software"","" Data Science"","" Databases"","" Microsoft Excel""}",4.8,93.9k,Beginner , Course , 1 - 3 Months,false
SkillUp EdTech,IBM IT Project Manager,"{"" Software Engineering"","" Agile Software Development"","" Computer Programming"","" Software Engineering Tools"","" Application Development"","" Programming Principles"","" Software Architecture"","" Communication"","" Cloud Applications"","" Product Management"","" Scrum (Software Development)"","" Software-Defined Networking"","" Leadership and Management"","" Project Management"","" Cloud Computing"","" IBM Cloud"","" Information Technology"","" Operating Systems"","" Python Programming"","" Risk Management""}",4.8,2.4k,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Google IT Automation with Python,"{"" Cloud Computing"","" Cloud Platforms"","" Collaboration"","" Computer Programming"","" Data Structures"","" Google Cloud Platform"","" Leadership and Management"","" Problem Solving"","" Python Programming""}",4.7,42k,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,Information Technology (IT) and Cloud Fundamentals,"{"" Cloud Computing"","" Computer Networking"","" Operating Systems"","" Cloud Storage"","" System Security"","" Cloud Applications"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Computer Programming"","" Cryptography"","" IBM Cloud"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,6.1k,Beginner , Specialization , 3 - 6 Months,false
Vanderbilt University,Prompt Engineering,"{"" Creativity"","" Data Analysis"","" Problem Solving"","" Writing""}",4.8,1.8k,Beginner , Specialization , 1 - 3 Months,false
Microsoft,Microsoft Power BI Data Analyst,"{"" Data Analysis"","" Data Management"","" Data Mining"","" Data Model"","" Extract"","" Transform"","" Load"","" Microsoft Excel"","" Power BI"","" SQL""}",4.6,907,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Data Warehouse Engineer,"{"" Data Management"","" Databases"","" Database Administration"","" SQL"","" Database Application"","" Extract"","" Transform"","" Load"","" Data Warehousing"","" Database Design"","" Data Structures"","" Data Engineering"","" Computer Programming"","" Data Analysis"","" Data Architecture"","" Database Theory"","" Apache"","" Python Programming"","" Leadership and Management"","" Professional Development"","" Big Data"","" Data Model"","" Distributed Computing Architecture"","" Computational Thinking"","" PostgreSQL"","" Software Architecture"","" Cloud Computing"","" Linux"","" IBM Cloud"","" Network Security"","" NoSQL"","" Business Intelligence"","" Data Science""}",4.7,3.6k,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Cybersecurity Analyst,"{"" Cryptography"","" Python Programming"","" Linux"","" Network Security"","" Security Strategy"","" Software Security"","" System Software"","" Computer Security Incident Management"","" Networking Hardware"","" Security Software"","" Cloud Computing"","" Cyberattacks"","" DevOps"","" Mobile Security"","" Computer Programming"","" Databases"","" Leadership and Management"","" Operating Systems"","" SQL"","" System Security""}",4.6,21.7k,Beginner , Professional Certificate , 3 - 6 Months,true
DeepLearning.AI,AI For Everyone,"{"" Data Science"","" Deep Learning"","" Machine Learning"","" Artificial Neural Networks"","" Business Transformation"","" Human Learning"","" Planning"","" Project Management""}",4.8,39.4k,Beginner , Course , 1 - 4 Weeks,false
DeepLearning.AI,Supervised Machine Learning: Regression and Classification,"{"" Machine Learning"","" Machine Learning Algorithms"","" Regression"","" Applied Machine Learning"","" Algorithms"","" Statistical Machine Learning"","" Mathematics"","" Critical Thinking"","" Machine Learning Software"","" Python Programming""}",4.9,15k,Beginner , Course , 1 - 4 Weeks,false
IBM,IBM DevOps and Software Engineering,"{""""}",None,None,"",None,None,false
IBM,IBM Front-End Developer,"{"" Software Engineering"","" Cloud Applications"","" Application Development"","" Computer Programming"","" Software Engineering Tools"","" Cloud Computing"","" IBM Cloud"","" Programming Principles"","" Web Development"","" Agile Software Development"","" Cloud API"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Platforms"","" Communication"","" DevOps"","" Software Architecture"","" Continuous Integration"","" Software As A Service"","" Web Development Tools"","" Continuous Delivery"","" Front-End Web Development"","" Leadership and Management"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Javascript"","" NoSQL"","" Mergers & Acquisitions"","" Python Programming"","" React (web framework)"","" Strategy""}",4.6,1.6k,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Technical Support Fundamentals,"{"" Communication"","" Computer Architecture"","" Computer Networking"","" Customer Support"","" Networking Hardware""}",4.8,145.6k,Beginner , Course , 1 - 3 Months,false
University of Pennsylvania,Business Foundations,"{"" Accounting"","" Finance"","" General Accounting"","" Decision Making"","" Financial Accounting"","" Strategy and Operations"","" Account Management"","" Accounts Payable and Receivable"","" Cost Accounting"","" Leadership and Management"","" Strategy"","" Cash Management"","" Communication"","" Financial Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Marketing"","" Brand Management"","" Budget Management"","" Customer Analysis"","" Market Analysis"","" Marketing Design"","" Product Marketing"","" Product Strategy"","" Entrepreneurship"","" Human Resources"","" People Analysis"","" Performance Management"","" Business Analysis"","" Customer Relationship Management"","" Data Analysis"","" Digital Marketing"","" Mathematical Theory & Analysis"","" Change Management"","" Human Resources Operations"","" Talent Management"","" Operations Management""}",4.7,24.1k,Beginner , Specialization , 3 - 6 Months,false
IBM,"BI Foundations with SQL, ETL and Data Warehousing","{"" Data Management"","" Extract"","" Transform"","" Load"","" Data Warehousing"","" Database Administration"","" Apache"","" Computer Programming"","" Python Programming"","" Data Analysis"","" Databases"","" Big Data"","" Database Application"","" Distributed Computing Architecture"","" Cloud Computing"","" Computational Thinking"","" Database Design"","" Database Theory"","" Leadership and Management"","" Linux"","" SQL"","" Software Architecture"","" Business Intelligence"","" IBM Cloud""}",4.6,19.6k,Beginner , Specialization , 3 - 6 Months,false
IBM,AI Foundations for Everyone,"{"" Human Learning"","" Machine Learning"","" Artificial Neural Networks"","" Deep Learning"","" Machine Learning Algorithms"","" Human Computer Interaction"","" Natural Language Processing"","" Algorithms"","" Applied Machine Learning"","" Cloud Computing"","" Computer Vision"","" IBM Cloud"","" Machine Learning Software"","" Data Analysis"","" Cloud API"","" Computer Programming"","" Data Science""}",4.7,13.1k,Beginner , Specialization , 3 - 6 Months,false
SkillUp EdTech,IBM IT Scrum Master,"{"" DevOps"","" Software Engineering"","" Computer Programming"","" Agile Software Development"","" Programming Principles"","" Software Engineering Tools"","" Application Development"","" Software Architecture"","" Communication"","" Continuous Delivery"","" Cloud Applications"","" Continuous Integration"","" Product Management"","" Scrum (Software Development)"","" Software-Defined Networking"","" Leadership and Management"","" Project Management"","" Cloud Computing"","" IBM Cloud"","" Information Technology"","" Operating Systems"","" Python Programming""}",4.8,3.8k,Beginner , Professional Certificate , 3 - 6 Months,false
SkillUp EdTech,IBM Project Manager,"{"" Software Engineering"","" Agile Software Development"","" Scrum (Software Development)"","" Business Analysis"","" Communication"","" Leadership and Management"","" Project Management"","" Risk Management""}",4.8,1.8k,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Applied DevOps Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Continuous Delivery"","" Continuous Integration"","" Application Development"","" Cloud Applications"","" Software Architecture"","" Security Engineering"","" Computer Programming"","" Kubernetes"","" Cloud Infrastructure"","" Cloud-Based Integration"","" Microarchitecture"","" Software Testing"","" Agile Software Development"","" IBM Cloud"","" Docker (Software)"","" Scrum (Software Development)"","" Software Security"","" Leadership and Management""}",4.7,4.1k,Intermediate , Professional Certificate , 3 - 6 Months,false
IBM,IBM AI Engineering,"{"" Machine Learning"","" Deep Learning"","" Human Learning"","" Artificial Neural Networks"","" Python Programming"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Machine Learning Software"","" Regression"","" Statistical Machine Learning"","" Network Model"","" Computer Vision"","" Apache"","" Big Data"","" Data Analysis"","" Mathematical Theory & Analysis"","" Computer Programming"","" Network Architecture"","" Data Visualization"","" Extract"","" Transform"","" Load"","" Plot (Graphics)"","" Tensorflow"","" Visualization (Computer Graphics)"","" Customer Analysis"","" Decision Making"","" Dimensionality Reduction"","" Data Science""}",4.6,17.3k,Intermediate , Professional Certificate , 3 - 6 Months,false
IBM,IT Fundamentals for Cybersecurity,"{"" Cryptography"","" Network Security"","" Linux"","" Networking Hardware"","" Security Software"","" System Software"","" Cloud Computing"","" Cyberattacks"","" Databases"","" Leadership and Management"","" Operating Systems"","" SQL"","" System Security""}",4.6,19.6k,Beginner , Specialization , 3 - 6 Months,false
DeepLearning.AI,Mathematics for Machine Learning and Data Science,"{"" Mathematics"","" Algebra"","" Linear Algebra"","" Machine Learning"","" Machine Learning Algorithms"","" Calculus"","" Differential Equations"","" Regression"","" Artificial Neural Networks"","" Mathematical Theory & Analysis"","" Python Programming"","" Algorithms"","" Critical Thinking"","" Dimensionality Reduction"","" General Statistics"","" Probability & Statistics"","" Statistical Analysis""}",4.6,1.3k,Beginner , Specialization , 1 - 3 Months,false
University of Michigan,Python for Everybody,"{"" Computer Programming"","" Python Programming"","" Computer Programming Tools"","" Programming Principles"","" Data Structures"","" Computational Thinking"","" Computational Logic"","" Software Engineering"","" Algorithms"","" Critical Thinking"","" Problem Solving"","" Data Management"","" Database Application"","" Databases"","" Theoretical Computer Science"","" Database Administration"","" Data Model"","" Data Visualization"","" Database Design"","" Database Theory"","" Web Development"","" Web Development Tools"","" Computer Networking"","" Extract"","" Transform"","" Load"","" SQL"","" HTML and CSS""}",4.8,268.6k,Beginner , Specialization , 3 - 6 Months,false
Meta,Meta React Native,"{"" React (web framework)"","" Javascript"","" Mobile Development"","" Mobile Development Tools"","" Web Development"","" HTML and CSS"","" Front-End Web Development"","" Web Development Tools"","" Application Development"","" Computer Programming"","" Programming Principles"","" User Experience"","" Web Design"","" Software Engineering Tools"","" SQL"","" Software Engineering"","" Agile Software Development"","" Collaboration"","" Data Management"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Product Design"","" Product Lifecycle"","" Project Management""}",4.7,6.7k,Beginner , Specialization , 3 - 6 Months,false
Google,Project Execution: Running the Project,"{"" Leadership and Management"","" Communication"","" Project Management"","" Strategy and Operations"","" Business Communication"","" Collaboration"","" Risk Management"","" Planning""}",4.8,7.1k,Beginner , Course , 1 - 3 Months,false
Coursera Project Network,Tableau Public for Project Management and Beyond,"{""""}",None,None,"",None,None,false
